               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.036447,            0.010647,            0.012939,             0.98184,                   1,               0.995,              0.8341,            0.019555,           0.0034149,           0.0017309,           0.0076042,           0.0076042,           0.0076042
                 123,            0.031948,             0.01117,            0.011071,              0.9936,                   1,               0.995,             0.67382,              0.0227,           0.0033631,           0.0017841,           0.0075844,           0.0075844,           0.0075844
                 124,             0.03765,            0.010964,            0.012426,              0.9936,                   1,               0.995,             0.67382,              0.0227,           0.0033631,           0.0017841,           0.0075646,           0.0075646,           0.0075646
                 125,            0.034936,            0.010951,            0.012439,             0.96465,                   1,               0.995,             0.67497,             0.01712,           0.0035585,           0.0015805,           0.0075448,           0.0075448,           0.0075448
                 126,            0.036538,            0.011429,            0.010877,             0.96465,                   1,               0.995,             0.67497,             0.01712,           0.0035585,           0.0015805,            0.007525,            0.007525,            0.007525
                 127,            0.034786,             0.01032,            0.014387,             0.86408,                   1,             0.95375,             0.63817,            0.021512,           0.0036966,           0.0015653,           0.0075052,           0.0075052,           0.0075052
                 128,            0.044479,           0.0088837,            0.014509,             0.86408,                   1,             0.95375,             0.63817,            0.021512,           0.0036966,           0.0015653,           0.0074854,           0.0074854,           0.0074854
                 129,            0.040324,           0.0082259,             0.01549,             0.80964,                   1,               0.995,              0.6688,            0.024004,           0.0036261,           0.0022456,           0.0074656,           0.0074656,           0.0074656
                 130,            0.034357,            0.008818,             0.01049,             0.80964,                   1,               0.995,              0.6688,            0.024004,           0.0036261,           0.0022456,           0.0074458,           0.0074458,           0.0074458
                 131,            0.042842,           0.0093652,            0.011256,             0.95495,             0.99961,               0.995,              0.7074,            0.022478,           0.0034478,           0.0030503,            0.007426,            0.007426,            0.007426
                 132,            0.038084,            0.011357,            0.012594,             0.95495,             0.99961,               0.995,              0.7074,            0.022478,           0.0034478,           0.0030503,           0.0074062,           0.0074062,           0.0074062
                 133,            0.040642,            0.011496,            0.014094,             0.94896,             0.99995,               0.995,             0.73207,            0.022949,           0.0034922,           0.0038749,           0.0073864,           0.0073864,           0.0073864
                 134,            0.040008,            0.010675,            0.014067,             0.94896,             0.99995,               0.995,             0.73207,            0.022949,           0.0034922,           0.0038749,           0.0073666,           0.0073666,           0.0073666
                 135,            0.040795,            0.011138,            0.016009,             0.96102,                   1,               0.995,             0.59792,            0.017236,           0.0038428,           0.0039035,           0.0073468,           0.0073468,           0.0073468
                 136,            0.040805,            0.010792,            0.010364,             0.96102,                   1,               0.995,             0.59792,            0.017236,           0.0038428,           0.0039035,            0.007327,            0.007327,            0.007327
                 137,            0.038164,            0.010294,            0.014276,             0.99842,                   1,               0.995,             0.67255,            0.017402,           0.0036807,           0.0027978,           0.0073072,           0.0073072,           0.0073072
                 138,            0.038531,           0.0096379,           0.0087151,             0.99842,                   1,               0.995,             0.67255,            0.017402,           0.0036807,           0.0027978,           0.0072874,           0.0072874,           0.0072874
                 139,            0.037755,           0.0081735,            0.014692,             0.99079,                   1,               0.995,              0.6901,            0.021812,           0.0032625,           0.0015723,           0.0072676,           0.0072676,           0.0072676
                 140,            0.042151,           0.0096531,           0.0097769,             0.99079,                   1,               0.995,              0.6901,            0.021812,           0.0032625,           0.0015723,           0.0072478,           0.0072478,           0.0072478
                 141,            0.036385,           0.0093763,             0.01293,             0.98788,             0.99981,               0.995,             0.63571,            0.020013,            0.003412,           0.0014927,            0.007228,            0.007228,            0.007228
                 142,            0.033269,           0.0097673,           0.0078552,             0.98788,             0.99981,               0.995,             0.63571,            0.020013,            0.003412,           0.0014927,           0.0072082,           0.0072082,           0.0072082
                 143,            0.040219,           0.0089655,            0.011329,             0.99883,                   1,               0.995,             0.76583,             0.02144,           0.0033196,           0.0012153,           0.0071884,           0.0071884,           0.0071884
                 144,            0.038101,           0.0090334,            0.012229,             0.99883,                   1,               0.995,             0.76583,             0.02144,           0.0033196,           0.0012153,           0.0071686,           0.0071686,           0.0071686
                 145,            0.033013,           0.0098691,            0.009893,             0.99765,                   1,               0.995,             0.85417,            0.013486,           0.0032774,           0.0012279,           0.0071488,           0.0071488,           0.0071488
                 146,            0.030388,           0.0099602,            0.011101,             0.99765,                   1,               0.995,             0.85417,            0.013486,           0.0032774,           0.0012279,            0.007129,            0.007129,            0.007129
                 147,            0.031149,           0.0098247,           0.0090018,             0.99015,                   1,               0.995,             0.70012,            0.017179,           0.0036814,            0.001273,           0.0071092,           0.0071092,           0.0071092
                 148,            0.039168,           0.0096867,            0.020615,             0.99015,                   1,               0.995,             0.70012,            0.017179,           0.0036814,            0.001273,           0.0070894,           0.0070894,           0.0070894
                 149,            0.033491,            0.010415,            0.011553,             0.98648,                   1,               0.995,             0.59116,              0.0216,           0.0036106,           0.0013808,           0.0070696,           0.0070696,           0.0070696
                 150,            0.035846,           0.0096533,            0.011167,             0.98648,                   1,               0.995,             0.59116,              0.0216,           0.0036106,           0.0013808,           0.0070498,           0.0070498,           0.0070498
                 151,            0.042718,             0.01034,            0.013233,             0.93699,                   1,               0.995,             0.75845,            0.016168,           0.0034513,           0.0013236,             0.00703,             0.00703,             0.00703
                 152,            0.035219,             0.01199,            0.011482,             0.93699,                   1,               0.995,             0.75845,            0.016168,           0.0034513,           0.0013236,           0.0070102,           0.0070102,           0.0070102
                 153,            0.026767,           0.0085358,           0.0089026,             0.99078,                   1,               0.995,             0.55607,            0.023505,            0.003387,           0.0013343,           0.0069904,           0.0069904,           0.0069904
                 154,            0.038121,           0.0081267,            0.011115,             0.99078,                   1,               0.995,             0.55607,            0.023505,            0.003387,           0.0013343,           0.0069706,           0.0069706,           0.0069706
